Frame	Phase
00:00:00.000	Preparation
00:00:00.020	Preparation
00:00:00.040	Preparation
00:00:00.060	Preparation
00:00:00.080	Preparation
00:00:00.100	Preparation
00:00:00.120	Preparation
00:00:00.140	Preparation
00:00:00.160	Preparation
00:00:00.180	Preparation
00:00:00.200	Preparation
00:00:00.220	Preparation
00:00:00.240	Preparation
00:00:00.260	Preparation
00:00:00.280	Preparation
00:00:00.300	Preparation
00:00:00.320	Preparation
00:00:00.340	Preparation
00:00:00.360	Preparation
00:00:00.380	Preparation
00:00:00.400	Preparation
00:00:00.420	Preparation
00:00:00.440	Preparation
00:00:00.460	Preparation
00:00:00.480	Preparation
00:00:00.500	Preparation
00:00:00.520	Preparation
00:00:00.540	Preparation
00:00:00.560	Preparation
00:00:00.580	Preparation
00:00:00.600	Preparation
00:00:00.620	Preparation
00:00:00.640	Preparation
00:00:00.660	Preparation
00:00:00.680	Preparation
00:00:00.700	Preparation
00:00:00.720	Preparation
00:00:00.740	Preparation
00:00:00.760	Preparation
00:00:00.780	Preparation
00:00:00.800	Preparation
00:00:00.820	Preparation
00:00:00.840	Preparation
00:00:00.860	Preparation
00:00:00.880	Preparation
00:00:00.900	Preparation
00:00:00.920	Preparation
00:00:00.940	Preparation
00:00:00.960	Preparation
00:00:00.980	Preparation
00:00:01.000	Preparation
00:00:01.020	Preparation
00:00:01.040	Preparation
00:00:01.060	Preparation
00:00:01.080	Preparation
00:00:01.100	Preparation
00:00:01.120	Preparation
00:00:01.140	Preparation
00:00:01.160	Preparation
00:00:01.180	Preparation
00:00:01.200	Preparation
00:00:01.220	Preparation
00:00:01.240	Preparation
00:00:01.260	Preparation
00:00:01.280	Preparation
00:00:01.300	Preparation
00:00:01.320	Preparation
00:00:01.340	Preparation
00:00:01.360	Preparation
00:00:01.380	Preparation
00:00:01.400	Preparation
00:00:01.420	Preparation
00:00:01.440	Preparation
00:00:01.460	Preparation
00:00:01.480	Preparation
00:00:01.500	Preparation
00:00:01.520	Preparation
00:00:01.540	Preparation
00:00:01.560	Preparation
00:00:01.580	Preparation
00:00:01.600	Preparation
00:00:01.620	Preparation
00:00:01.640	Preparation
00:00:01.660	Preparation
00:00:01.680	Preparation
00:00:01.700	Preparation
00:00:01.720	Preparation
00:00:01.740	Preparation
00:00:01.760	Preparation
00:00:01.780	Preparation
00:00:01.800	Preparation
00:00:01.820	Preparation
00:00:01.840	Preparation
00:00:01.860	Preparation
00:00:01.880	Preparation
00:00:01.900	Preparation
00:00:01.920	Preparation
00:00:01.940	Preparation
00:00:01.960	GallbladderDissection
00:00:01.980	GallbladderDissection
00:00:02.000	GallbladderDissection
00:00:02.020	GallbladderDissection
00:00:02.040	GallbladderDissection
00:00:02.060	GallbladderDissection
00:00:02.080	GallbladderDissection
00:00:02.100	GallbladderDissection
00:00:02.120	GallbladderDissection
00:00:02.140	GallbladderDissection
00:00:02.160	GallbladderDissection
